Business Heading,Business Category,Business Category Slug,Product Category,Product Category Slug,,,
Retail,Supermarket,supermarket,Household Essentials,household-essentials,,Retail,Furniture Showroom
Retail,Supermarket,supermarket,Cleaning Products,cleaning-products,,Retail,Mattress Store
Retail,Supermarket,supermarket,Baby Care,baby-care,,Retail,Sanitary Store
Retail,Supermarket,supermarket,Pet Food,pet-food,,Retail,Paint Shop
Retail,Supermarket,supermarket,Kitchen Essentials,kitchen-essentials,,Retail,Cycle Shop
Retail,Supermarket,supermarket,Health & Wellness,health-wellness,,Retail,Pooja Samagri Store
Retail,Supermarket,supermarket,Imported Products,imported-products,,Retail,Bag & Luggage Store
Retail,Mobile Shop,mobile-shop,Smartphones,smartphones,,Retail,Eyewear / Optical Shop
Retail,Mobile Shop,mobile-shop,Feature Phones,feature-phones,,Retail,Watch Store & Repair
Retail,Mobile Shop,mobile-shop,Mobile Accessories,mobile-accessories,,Retail,Computer / Laptop Shop
Retail,Mobile Shop,mobile-shop,Chargers & Cables,chargers-cables,,Retail,Photo Studio
Retail,Mobile Shop,mobile-shop,Headphones & Earphones,headphones-earphones,,Retail,Fabrication / Welding Shop
Retail,Mobile Shop,mobile-shop,Bluetooth Devices,bluetooth-devices,,Retail,Sanitaryware & Tiles Shop
Retail,Mobile Shop,mobile-shop,Mobile Covers & Cases,mobile-cases,,Beauty & Wellness,Beauty Salon
Retail,Mobile Shop,mobile-shop,Screen Protectors,screen-protectors,,Beauty & Wellness,Men Salon
Retail,Mobile Shop,mobile-shop,Power Banks,power-banks,,Beauty & Wellness,Spa Center
Retail,Mobile Shop,mobile-shop,Smart Watches,smart-watches,,Beauty & Wellness,Makeup Artist
Retail,Mobile Shop,mobile-shop,Tablet Devices,tablets,,Beauty & Wellness,Bridal Makeup Studio
Retail,Mobile Shop,mobile-shop,Refurbished Phones,refurbished-phones,,Beauty & Wellness,Hair Studio
Retail,Mobile Shop,mobile-shop,Mobile Repair,mobile-repair,,Beauty & Wellness,Skin Care Clinic
Retail,Electronics Shop,electronics-shop,LED TV,led-tv,,Beauty & Wellness,Nail Art Studio
Retail,Electronics Shop,electronics-shop,Smart TV,smart-tv,,Beauty & Wellness,Tattoo Studio
Retail,Electronics Shop,electronics-shop,Refrigerator,refrigerator,,Beauty & Wellness,Wellness Center
Retail,Electronics Shop,electronics-shop,Washing Machine,washing-machine,,Beauty & Wellness,Ayurvedic Treatment Center
Retail,Electronics Shop,electronics-shop,Air Conditioner,air-conditioner,,Beauty & Wellness,Yoga Studio
Retail,Electronics Shop,electronics-shop,Home Appliances,home-appliances,,Beauty & Wellness,Zumba Studio
Retail,Electronics Shop,electronics-shop,Kitchen Appliances,kitchen-appliances,,Beauty & Wellness,Massage Therapy Center
Retail,Electronics Shop,electronics-shop,Small Appliances,small-appliances,,Beauty & Wellness,Physiotherapy Center
Retail,Electronics Shop,electronics-shop,Audio Systems,audio-systems,,Beauty & Wellness,Slimming Center
Retail,Electronics Shop,electronics-shop,Speakers,speakers,,Beauty & Wellness,Dermatology Clinic
Retail,Electronics Shop,electronics-shop,CCTV & Security Systems,cctv-security,,Beauty & Wellness,Cosmetic Clinic
Retail,Electronics Shop,electronics-shop,Inverters & Batteries,inverter-battery,,Beauty & Wellness,Fitness Studio
Retail,Electronics Shop,electronics-shop,Electrical Appliances,electrical-appliances,,Food & Beverages,Restaurant
Retail,Electronics Shop,electronics-shop,Geysers & Heaters,geysers-heaters,,Food & Beverages,Veg Restaurant
Retail,Hardware Store,hardware-store,Building Materials,building-materials,,Food & Beverages,Non-Veg Restaurant
Retail,Hardware Store,hardware-store,Plumbing Supplies,plumbing-supplies,,Food & Beverages,Cafe
Retail,Hardware Store,hardware-store,Electrical Hardware,electrical-hardware,,Food & Beverages,Tea Stall
Retail,Hardware Store,hardware-store,Tools & Equipment,tools-equipment,,Food & Beverages,Bakery
Retail,Hardware Store,hardware-store,Paint & Accessories,paint-accessories,,Food & Beverages,Sweet Shop
Retail,Hardware Store,hardware-store,Sanitaryware,sanitaryware,,Food & Beverages,Cloud Kitchen
Retail,Hardware Store,hardware-store,Pipes & Fittings,pipes-fittings,,Food & Beverages,Catering Service
Retail,Hardware Store,hardware-store,Fasteners & Fixtures,fasteners-fixtures,,Food & Beverages,Juice Corner
Retail,Hardware Store,hardware-store,Construction Tools,construction-tools,,Food & Beverages,Ice Cream Parlour
Retail,Hardware Store,hardware-store,Home Repair Items,home-repair,,Food & Beverages,Fast Food Center
Retail,Hardware Store,hardware-store,Adhesives & Sealants,adhesives-sealants,,Food & Beverages,Dhaba
Retail,Hardware Store,hardware-store,Safety Equipment,safety-equipment,,Food & Beverages,Tiffin Service
Retail,Stationery Shop,stationery-shop,Office Stationery,office-stationery,,Food & Beverages,Food Truck
Retail,Stationery Shop,stationery-shop,School Supplies,school-supplies,,Food & Beverages,Fine Dine Restaurant
Retail,Stationery Shop,stationery-shop,Writing Instruments,pens-pencils,,Food & Beverages,Barbecue Restaurant
Retail,Stationery Shop,stationery-shop,Notebooks & Registers,notebooks-registers,,Food & Beverages,Snack Corner
Retail,Stationery Shop,stationery-shop,Art & Craft Supplies,art-craft,,Food & Beverages,Pizza Shop
Retail,Stationery Shop,stationery-shop,Printer & Paper Supplies,printer-paper,,Food & Beverages,Street Food Vendor
Retail,Stationery Shop,stationery-shop,Files & Folders,files-folders,,Home Services,Plumber
Retail,Stationery Shop,stationery-shop,Office Accessories,office-accessories,,Home Services,Electrician
Retail,Stationery Shop,stationery-shop,Gift Stationery,gift-stationery,,Home Services,Carpenter
Retail,Stationery Shop,stationery-shop,Educational Materials,educational-material,,Home Services,AC Repair
Retail,Book Store,book-store,Academic Books,academic-books,,Home Services,Washing Machine Repair
Retail,Book Store,book-store,School Books,school-books,,Home Services,Refrigerator Repair
Retail,Book Store,book-store,College Books,college-books,,Home Services,House Cleaning
Retail,Book Store,book-store,Competitive Exam Books,competitive-books,,Home Services,Pest Control
Retail,Book Store,book-store,Novels & Fiction,novels-fiction,,Home Services,Water Purifier
Retail,Book Store,book-store,Religious Books,religious-books,,Home Services,Painting Contractor
Retail,Book Store,book-store,Children Books,children-books,,Home Services,Interior Contractor
Retail,Book Store,book-store,Magazines,magazines,,Home Services,CCTV Installer
Retail,Book Store,book-store,Comics,comics,,Home Services,Solar Installer
Retail,Book Store,book-store,E-books & Digital,ebooks-digital,,Home Services,Water Tank Cleaner
Retail,Gift Shop,gift-shop,Gift Items,gift-items,,Home Services,Nursery / Plant Seller
Retail,Gift Shop,gift-shop,Personalized Gifts,personalized-gifts,,Home Services,Scrap Dealer (Kabadiwala)
Retail,Gift Shop,gift-shop,Birthday Gifts,birthday-gifts,,Home Services,Laundry / Dry Cleaner / Dhobi
Retail,Gift Shop,gift-shop,Anniversary Gifts,anniversary-gifts,,Home Services,Tailor / Boutique
Retail,Gift Shop,gift-shop,Wedding Gifts,wedding-gifts,,Home Services,CCTV & Security Systems
Retail,Gift Shop,gift-shop,Festival Gifts,festival-gifts,,Home Services,Home Appliances Dealer
Retail,Gift Shop,gift-shop,Home Decor Items,home-decor,,Home Services,Electronic Gadget Repair
Retail,Gift Shop,gift-shop,Soft Toys,soft-toys,,Home Services,Internet Service Provider / Broadband
Retail,Gift Shop,gift-shop,Greeting Cards,greeting-cards,,Professional & Consulting,Chartered Accountant
Retail,Gift Shop,gift-shop,Corporate Gifts,corporate-gifts,,Professional & Consulting,Tax Consultant
Retail,Toy Shop,toy-shop,Kids Toys,kids-toys,,Professional & Consulting,GST Consultant
Retail,Toy Shop,toy-shop,Educational Toys,educational-toys,,Professional & Consulting,Advocate / Lawyer
Retail,Toy Shop,toy-shop,Remote Control Toys,remote-control-toys,,Professional & Consulting,Insurance Agent
Retail,Toy Shop,toy-shop,Soft Toys,soft-toys,,Professional & Consulting,Financial Advisor
Retail,Toy Shop,toy-shop,Board Games,board-games,,Professional & Consulting,Business Consultant
Retail,Toy Shop,toy-shop,Puzzle Games,puzzles-games,,Professional & Consulting,Company Secretary
Retail,Toy Shop,toy-shop,Outdoor Toys,outdoor-toys,,Professional & Consulting,HR / Recruitment Agency
Retail,Toy Shop,toy-shop,Battery Operated Toys,battery-toys,,Professional & Consulting,Architect / Interior Designer
Retail,Toy Shop,toy-shop,Baby Toys,baby-toys,,Professional & Consulting,Loan Consultant
Retail,Toy Shop,toy-shop,STEM Toys,stem-toys,,Real Estate Services,Real Estate Agent / Property Dealer
Retail,Jewellery Shop,jewellery-shop,Gold Jewellery,gold-jewellery,,Event & Entertainment,Event Planner / Organizer
Retail,Jewellery Shop,jewellery-shop,Silver Jewellery,silver-jewellery,,Event & Entertainment,Wedding Planner
Retail,Jewellery Shop,jewellery-shop,Diamond Jewellery,diamond-jewellery,,Event & Entertainment,Costume / Dress Rental
Retail,Jewellery Shop,jewellery-shop,Artificial Jewellery,artificial-jewellery,,Event & Entertainment,DJ / Sound System Rental
Retail,Jewellery Shop,jewellery-shop,Bridal Jewellery,bridal-jewellery,,Event & Entertainment,Tent House / Decorator
Retail,Jewellery Shop,jewellery-shop,Necklaces & Chains,necklaces-chains,,Event & Entertainment,Banquet Hall / Party Venue
Retail,Jewellery Shop,jewellery-shop,Rings & Earrings,rings-earrings,,Event & Entertainment,Magician / Entertainer
Retail,Jewellery Shop,jewellery-shop,Bangles & Bracelets,bangles-bracelets,,Event & Entertainment,Florist / Flower Decorator
Retail,Jewellery Shop,jewellery-shop,Custom Jewellery,custom-jewellery,,Construction & Building Services,Civil Contractor
Retail,Jewellery Shop,jewellery-shop,Jewellery Repair,jewellery-repair,,Construction & Building Services,Building Material Supplier
Retail,Pharmacy / Medical Store,pharmacy-medical-store,Medicines,medicines,,Construction & Building Services,Glass & Aluminium Work
Retail,Pharmacy / Medical Store,pharmacy-medical-store,OTC Medicines,otc-medicines,,Automobile Sales,Car / Bike Showroom
Retail,Pharmacy / Medical Store,pharmacy-medical-store,Prescription Medicines,prescription-medicines,,Automobile Sales,Second-hand Vehicle Dealer
Retail,Pharmacy / Medical Store,pharmacy-medical-store,Health Supplements,health-supplements,,Industrial & Wholesale,Wholesale & Distribution
Retail,Pharmacy / Medical Store,pharmacy-medical-store,Vitamins & Minerals,vitamins-minerals,,Industrial & Wholesale,FMCG Distributor
Retail,Pharmacy / Medical Store,pharmacy-medical-store,Medical Equipment,medical-equipment,,Industrial & Wholesale,Pharmaceutical Distributor
Retail,Pharmacy / Medical Store,pharmacy-medical-store,First Aid Products,first-aid-products,,Industrial & Wholesale,Industrial Product Trader
Retail,Pharmacy / Medical Store,pharmacy-medical-store,Personal Care,personal-care,,Industrial & Wholesale,Industrial Machinery Supplier
Retail,Pharmacy / Medical Store,pharmacy-medical-store,Baby Care,baby-care,,Industrial & Wholesale,Textile / Garment Unit
Retail,Pharmacy / Medical Store,pharmacy-medical-store,Health Devices,health-devices,,Social & NGO,NGO / Trust
Retail,Pharmacy / Medical Store,pharmacy-medical-store,Ayurvedic Products,ayurvedic-products,,Social & NGO,Old Age Care / Orphanage
Retail,Pet Supplies Store,pet-supplies-store,Pet Food,pet-food,,Agriculture & Dairy,Seed / Fertilizer Dealer
Retail,Pet Supplies Store,pet-supplies-store,Dog Food,dog-food,,Agriculture & Dairy,Dairy / Milk Supplier
Retail,Pet Supplies Store,pet-supplies-store,Cat Food,cat-food,,Agriculture & Dairy,Poultry Farm
Retail,Pet Supplies Store,pet-supplies-store,Pet Accessories,pet-accessories,,Agriculture & Dairy,Organic Products Seller
Retail,Pet Supplies Store,pet-supplies-store,Pet Toys,pet-toys,,Agriculture & Dairy,Farm Equipment Supplier
Retail,Pet Supplies Store,pet-supplies-store,Pet Grooming,pet-grooming,,Fitness Activity,Gym / Fitness Trainer
Retail,Pet Supplies Store,pet-supplies-store,Pet Healthcare,pet-healthcare,,Fitness Activity,Zumba / Dance Instructor
Retail,Pet Supplies Store,pet-supplies-store,Pet Clothing,pet-clothing,,Fitness Activity,Martial Arts / Karate Trainer
Retail,Pet Supplies Store,pet-supplies-store,Aquarium Supplies,aquarium-supplies,,Travel & Visa,Travel Agency / Tour Operator
Retail,Pet Supplies Store,pet-supplies-store,Bird Supplies,bird-supplies,,Travel & Visa,Visa Consultant
Retail,Optical Store,optical-store,Eyeglasses,eyeglasses,,Religious & Astrology,Pandit / Priest (Pooja Services)
Retail,Optical Store,optical-store,Sunglasses,sunglasses,,Religious & Astrology,Astrologer / Palmist
Retail,Optical Store,optical-store,Contact Lenses,contact-lenses,,Religious & Astrology,Tarot Card Reader
Retail,Optical Store,optical-store,Prescription Glasses,prescription-glasses,,Religious & Astrology,Numerologist
Retail,Optical Store,optical-store,Frames & Lenses,frames-lenses,,Religious & Astrology,Vastu Consultant
Retail,Optical Store,optical-store,Eye Testing,eye-testing,,Sales & Network,Direct Selling / Network Marketing
Retail,Optical Store,optical-store,Computer Glasses,computer-glasses,,Sales & Network,Telecaller / Sales Freelancer
Retail,Optical Store,optical-store,Reading Glasses,reading-glasses,,Transport & Logistics,Taxi / Cab
Retail,Optical Store,optical-store,Kids Eyewear,kids-eyewear,,Transport & Logistics,Auto Rickshaw
Retail,Optical Store,optical-store,Optical Accessories,optical-accessories,,Transport & Logistics,Transporter / Trucking
Retail,Footwear Shop,footwear-shop,Men Footwear,men-footwear,,Transport & Logistics,Courier / Parcel
Retail,Footwear Shop,footwear-shop,Women Footwear,women-footwear,,Transport & Logistics,Transport Contractor
Retail,Footwear Shop,footwear-shop,Kids Footwear,kids-footwear,,Transport & Logistics,Courier / Logistics Provider
Retail,Footwear Shop,footwear-shop,Sports Shoes,sports-shoes,,Transport & Logistics,Packers & Movers
Retail,Footwear Shop,footwear-shop,Casual Shoes,casual-shoes,,Transport & Logistics,Warehousing / Cold Storage
Retail,Footwear Shop,footwear-shop,Formal Shoes,formal-shoes,,Printing & Document,Printing Press (Offset/Flex)
Retail,Footwear Shop,footwear-shop,Sandals & Slippers,sandals-slippers,,Printing & Document,Printing / Flex / Banner
Retail,Footwear Shop,footwear-shop,Boots,boots,,Printing & Document,Xerox / Printing / Cyber Cafe
Retail,Footwear Shop,footwear-shop,Branded Footwear,branded-footwear,,Healthcare,General Physician Clinic
Retail,Footwear Shop,footwear-shop,Footwear Accessories,footwear-accessories,,Healthcare,Dental Clinic
Retail,Clothing Store,clothing-store,Men Clothing,men-clothing,,Healthcare,Diagnostic Lab
Retail,Clothing Store,clothing-store,Women Clothing,women-clothing,,Healthcare,Pathology Lab
Retail,Clothing Store,clothing-store,Kids Clothing,kids-clothing,,Healthcare,Ayurvedic Clinic
Retail,Clothing Store,clothing-store,Ethnic Wear,ethnic-wear,,Healthcare,Homeopathy Clinic
Retail,Clothing Store,clothing-store,Western Wear,western-wear,,Healthcare,Eye Clinic
Retail,Clothing Store,clothing-store,Casual Wear,casual-wear,,Healthcare,ENT Clinic
Retail,Clothing Store,clothing-store,Formal Wear,formal-wear,,Healthcare,Veterinary Clinic
Retail,Clothing Store,clothing-store,Winter Wear,winter-wear,,Healthcare,Skin Specialist
Retail,Clothing Store,clothing-store,Innerwear,innerwear,,Healthcare,Cardiology Clinic
Retail,Clothing Store,clothing-store,Sportswear,sportswear,,Healthcare,Orthopedic Clinic
Retail,Clothing Store,clothing-store,Designer Wear,designer-wear,,Healthcare,Pediatric Clinic
Retail,Clothing Store,clothing-store,Bridal Wear,bridal-wear,,Healthcare,Gynecology Clinic
Retail,Sports Goods Shop,sports-goods-shop,Cricket Equipment,cricket-equipment,,Healthcare,Dietitian / Nutritionist
Retail,Sports Goods Shop,sports-goods-shop,Football Equipment,football-equipment,,Healthcare,Doctor / General Physician
Retail,Sports Goods Shop,sports-goods-shop,Gym Equipment,gym-equipment,,Education & Training,Coaching Institute
Retail,Sports Goods Shop,sports-goods-shop,Fitness Accessories,fitness-accessories,,Education & Training,Computer Training Center
Retail,Sports Goods Shop,sports-goods-shop,Outdoor Sports Gear,outdoor-sports,,Education & Training,Spoken English Institute
Retail,Sports Goods Shop,sports-goods-shop,Indoor Games,indoor-games,,Education & Training,Music Classes
Retail,Sports Goods Shop,sports-goods-shop,Sports Shoes,sports-shoes,,Education & Training,Dance Academy
Retail,Sports Goods Shop,sports-goods-shop,Sportswear,sportswear,,Education & Training,Tuition Center
Retail,Sports Goods Shop,sports-goods-shop,Yoga Equipment,yoga-equipment,,Education & Training,Competitive Exam Coaching
Retail,Sports Goods Shop,sports-goods-shop,Badminton Equipment,badminton-equipment,,Education & Training,Online Course Provider
Retail,Cosmetics Shop,cosmetics-shop,Makeup Products,makeup-products,,Education & Training,Abacus Classes
Retail,Cosmetics Shop,cosmetics-shop,Skincare Products,skincare-products,,Education & Training,Coding Classes
Retail,Cosmetics Shop,cosmetics-shop,Hair Care Products,hair-care-products,,Education & Training,Language Institute
Retail,Cosmetics Shop,cosmetics-shop,Beauty Accessories,beauty-accessories,,Education & Training,Play School
Retail,Cosmetics Shop,cosmetics-shop,Perfumes & Fragrances,perfumes-fragrances,,Education & Training,Skill Development Center
Retail,Cosmetics Shop,cosmetics-shop,Herbal Products,herbal-products,,Education & Training,ITI Training Center
Retail,Cosmetics Shop,cosmetics-shop,Bridal Makeup Kits,bridal-makeup-kits,,Education & Training,Home Tutor / Private Tuition
Retail,Cosmetics Shop,cosmetics-shop,Men Grooming Products,men-grooming,,Education & Training,Play School / Day Care
Retail,Cosmetics Shop,cosmetics-shop,Salon Products,salon-products,,Education & Training,Driving School
Retail,Organic Products Store,organic-products-store,Organic Food,organic-food,,Education & Training,Sports Academy
Retail,Organic Products Store,organic-products-store,Organic Vegetables,organic-vegetables,,Education & Training,Library / Study Center
Retail,Organic Products Store,organic-products-store,Organic Fruits,organic-fruits,,Education & Training,Sports Coaching Academy
Retail,Organic Products Store,organic-products-store,Organic Spices,organic-spices,,Automobile,Car Service Center
Retail,Organic Products Store,organic-products-store,Organic Pulses & Grains,organic-pulses-grains,,Automobile,Bike Service Center
Retail,Organic Products Store,organic-products-store,Organic Oils,organic-oils,,Automobile,Tyre Shop
Retail,Organic Products Store,organic-products-store,Herbal Products,herbal-products,,Automobile,Car Accessories Shop
Retail,Organic Products Store,organic-products-store,Natural Skincare,natural-skincare,,Automobile,Auto Parts Dealer
Retail,Organic Products Store,organic-products-store,Eco Friendly Products,eco-friendly-products,,Automobile,Car Wash Center
Retail,Home Decor Shop,home-décor-shop,Wall Decor,wall-decor,,Automobile,Battery Shop
Retail,Home Decor Shop,home-décor-shop,Decorative Items,decorative-items,,Automobile,Car Detailing Center
Retail,Home Decor Shop,home-décor-shop,Lighting Decor,lighting-decor,,Automobile,EV Charging Station
Retail,Home Decor Shop,home-décor-shop,Home Furnishing,home-furnishing,,Automobile,Garage
Retail,Home Decor Shop,home-décor-shop,Curtains & Cushions,curtains-cushions,,Digital & IT Services,Web Development Company
Retail,Home Decor Shop,home-décor-shop,Showpieces,showpieces,,Digital & IT Services,App Development Company
Retail,Home Decor Shop,home-décor-shop,Artificial Plants,artificial-plants,,Digital & IT Services,Digital Marketing Agency
Retail,Home Decor Shop,home-décor-shop,Pooja Decor Items,pooja-décor-items,,Digital & IT Services,Graphic Design Studio
Retail,Home Decor Shop,home-décor-shop,Customized Decor,customized-decor,,Digital & IT Services,Video Production Studio
Retail,Kitchenware Store,kitchenware-store,Cookware,cookware,,Digital & IT Services,SEO Agency
Retail,Kitchenware Store,kitchenware-store,Kitchen Utensils,kitchen-utensils,,Digital & IT Services,Social Media Marketing Agency
Retail,Kitchenware Store,kitchenware-store,Storage Containers,storage-containers,,Digital & IT Services,Content Marketing Agency
Retail,Kitchenware Store,kitchenware-store,Dinner Sets,dinner-sets,,Digital & IT Services,IT Support Company
Retail,Kitchenware Store,kitchenware-store,Kitchen Appliances,kitchen-appliances,,Digital & IT Services,Software Development Company
Retail,Kitchenware Store,kitchenware-store,Non Stick Products,non-stick-products,,Digital & IT Services,Animation/VFX Studios
Retail,Kitchenware Store,kitchenware-store,Steel Utensils,steel-utensils,,Digital & IT Services,Audio/Sound Studios
Retail,Kitchenware Store,kitchenware-store,Gas Stove & Accessories,gas-stove-accessories,,Freelancers,Freelance Photographer / Videographer
Retail,Kitchenware Store,kitchenware-store,Baking Tools,baking-tools,,Freelancers,Freelance Web Designer
Retail,Electrical Shop,electrical-shop,Electrical Items,electrical-items,,Freelancers,Freelance Graphic Designer
Retail,Electrical Shop,electrical-shop,Wires & Cables,wires-cables,,Freelancers,Freelance Content Writer / Copywriter
Retail,Electrical Shop,electrical-shop,Switches & Boards,switches-boards,,Freelancers,Freelance Video Editor / Animator
Retail,Electrical Shop,electrical-shop,Lighting Products,lighting-products,,Freelancers,Freelance Website Developer
Retail,Electrical Shop,electrical-shop,LED Lights,led-lights,,Freelancers,Freelance App Developer
Retail,Electrical Shop,electrical-shop,Fans & Coolers,fans-coolers,,Freelancers,Freelance AI Services / Automation Consultant
Retail,Electrical Shop,electrical-shop,Inverters & Batteries,inverter-battery,,Freelancers,Freelance AI Video
Retail,Electrical Shop,electrical-shop,Electrical Fittings,electrical-fittings,,Freelancers,Mehendi Artist
Retail,Electrical Shop,electrical-shop,Home Electrical Appliances,home-electrical-appliances,,Freelancers,Influencer / Content Creator
Retail,Furniture Showroom,furniture-showroom,Sofa Sets,sofa-sets,,Freelancers,Data Entry Operator
Retail,Furniture Showroom,furniture-showroom,Beds & Wardrobes,beds-wardrobes,,Freelancers,Freelance SEO Expert
Retail,Furniture Showroom,furniture-showroom,Dining Tables,dining-tables,,Freelancers,Social Media Manager
Retail,Furniture Showroom,furniture-showroom,Office Furniture,office-furniture,,,
Retail,Furniture Showroom,furniture-showroom,Wooden Furniture,wooden-furniture,,,
Retail,Furniture Showroom,furniture-showroom,Modular Furniture,modular-furniture,,,
Retail,Furniture Showroom,furniture-showroom,Home Furniture,home-furniture,,,
Retail,Furniture Showroom,furniture-showroom,Chairs & Tables,chairs-tables,,,
Retail,Furniture Showroom,furniture-showroom,Customized Furniture,customized-furniture,,,
Retail,Mattress Store,mattress-store,Foam Mattress,foam-mattress,,,
Retail,Mattress Store,mattress-store,Spring Mattress,spring-mattress,,,
Retail,Mattress Store,mattress-store,Orthopedic Mattress,orthopedic-mattress,,,
Retail,Mattress Store,mattress-store,Memory Foam Mattress,memory-foam-mattress,,,
Retail,Mattress Store,mattress-store,Coir Mattress,coir-mattress,,,
Retail,Mattress Store,mattress-store,Kids Mattress,kids-mattress,,,
Retail,Mattress Store,mattress-store,Mattress Accessories,mattress-accessories,,,
Retail,Mattress Store,mattress-store,Pillow & Cushions,pillows-cushions,,,
Retail,Sanitary Store,sanitary-store,Bathroom Fittings,bathroom-fittings,,,
Retail,Sanitary Store,sanitary-store,Sanitaryware Products,sanitaryware-products,,,
Retail,Sanitary Store,sanitary-store,Wash Basins,wash-basins,,,
Retail,Sanitary Store,sanitary-store,Toilets & WC,toilets-wc,,,
Retail,Sanitary Store,sanitary-store,Shower Systems,shower-systems,,,
Retail,Sanitary Store,sanitary-store,Taps & Faucets,taps-faucets,,,
Retail,Sanitary Store,sanitary-store,Pipes & Fittings,pipes-fittings,,,
Retail,Sanitary Store,sanitary-store,Bathroom Accessories,bathroom-accessories,,,
Retail,Paint Shop,paint-shop,Wall Paints,wall-paints,,,
Retail,Paint Shop,paint-shop,Interior Paints,interior-paints,,,
Retail,Paint Shop,paint-shop,Exterior Paints,exterior-paints,,,
Retail,Paint Shop,paint-shop,Waterproof Paints,waterproof-paints,,,
Retail,Paint Shop,paint-shop,Wood Coatings,wood-coatings,,,
Retail,Paint Shop,paint-shop,Metal Paints,metal-paints,,,
Retail,Paint Shop,paint-shop,Paint Tools & Accessories,paint-tools-accessories,,,
Retail,Paint Shop,paint-shop,Primer & Putty,primer-putty,,,
Retail,Cycle Shop,cycle-shop,Bicycles,bicycles,,,
Retail,Cycle Shop,cycle-shop,Kids Cycles,kids-cycles,,,
Retail,Cycle Shop,cycle-shop,Gear Cycles,gear-cycles,,,
Retail,Cycle Shop,cycle-shop,Electric Cycles,electric-cycles,,,
Retail,Cycle Shop,cycle-shop,Cycle Accessories,cycle-accessories,,,
Retail,Cycle Shop,cycle-shop,Cycle Spare Parts,cycle-spare-parts,,,
Retail,Cycle Shop,cycle-shop,Cycle Repair,cycle-repair,,,
Retail,Cycle Shop,cycle-shop,Sports Cycles,sports-cycles,,,
Retail,Pooja Samagri Store,pooja-samagri-store,Pooja Samagri,pooja-samagri,,,
Retail,Pooja Samagri Store,pooja-samagri-store,Havan Samagri,havan-samagri,,,
Retail,Pooja Samagri Store,pooja-samagri-store,Incense Sticks (Agarbatti),agarbatti,,,
Retail,Pooja Samagri Store,pooja-samagri-store,Diyas & Lamps,diyas-lamps,,,
Retail,Pooja Samagri Store,pooja-samagri-store,Idols & Murti,idols-murti,,,
Retail,Pooja Samagri Store,pooja-samagri-store,Religious Books,religious-books,,,
Retail,Pooja Samagri Store,pooja-samagri-store,Pooja Thali & Accessories,pooja-thali,,,
Retail,Pooja Samagri Store,pooja-samagri-store,Camphor & Dhoop,camphor-dhoop,,,
Retail,Pooja Samagri Store,pooja-samagri-store,Temple Decor Items,temple-décor-items,,,
Retail,Pooja Samagri Store,pooja-samagri-store,Festive Pooja Kits,festive-pooja-kits,,,
Retail,Bag & Luggage Store,bag-luggage-store,Travel Bags,travel-bags,,,
Retail,Bag & Luggage Store,bag-luggage-store,Suitcases & Trolleys,suitcases-trolleys,,,
Retail,Bag & Luggage Store,bag-luggage-store,School Bags,school-bags,,,
Retail,Bag & Luggage Store,bag-luggage-store,Laptop Bags,laptop-bags,,,
Retail,Bag & Luggage Store,bag-luggage-store,Handbags,handbags,,,
Retail,Bag & Luggage Store,bag-luggage-store,Backpacks,backpacks,,,
Retail,Bag & Luggage Store,bag-luggage-store,Office Bags,office-bags,,,
